timp;v_in;m;omega;ia
0;0;0;0;0
0,002;0;0;0;0
0,004;0;0;0;0
0,005;0;0;0;0
0,005;24;0;0;0
0,005000024;24;0;1,9427E-06;0,011485027
0,005000049;24;0;6,13063E-06;0,022965496
0,005000073;24;0;1,26102E-05;0,034441313
0,005000161;24;0;5,35731E-05;0,075844001
0,00500025;24;0;0,000123686;0,11718751
0,005000338;24;0;0,000223466;0,15847079
0,005000426;24;0;0,000353067;0,199693527
0,005000675;24;0;0,000880644;0,315933079
0,005000924;24;0;0,00164561;0,431690605
0,005001174;24;0;0,002647015;0,546967987
0,005001423;24;0;0,003883875;0,661767178
0,005002453;24;0;0,011466104;1,130884448
0,005003482;24;0;0,02298033;1,592012064
0,005004512;24;0;0,038359312;2,045283369
0,005005541;24;0;0,057537084;2,490829168
0,005006571;24;0;0,080448892;2,928777876
0,005011218;24;0;0,228610268;4,814169272
0,005015864;24;0;0,445971248;6,558417623
0,005020511;24;0;0,727349805;8,171800012
0,005025158;24;0;1,067938292;9,66385156
0,005029805;24;0;1,463277294;11,04341725
0,005034451;24;0;1,909232842;12,31869708
0,005048959;24;0;3,586495915;15,71000067
0,005063466;24;0;5,621099186;18,35468354
0,005077974;24;0;7,934161088;20,40929299
0,005092481;24;0;10,46331985;21,99763621
0,005106989;24;0;13,1590847;23,21801145
0,005121496;24;0;15,9823074;24,14821886
0,00514708;24;0;21,17942611;25,2647192
0,005172663;24;0;26,55690358;25,908782
0,005198246;24;0;32,03548789;26,23862688
0,00522383;24;0;37,56164931;26,36148579
0,005249413;24;0;43,09916207;26,35028607
0,005274996;24;0;48,62451728;26,25274145
0,005315755;24;0;57,36584162;25,99375317
0,005356513;24;0;66,00635512;25,6615004
0,005397271;24;0;74,53062988;25,29092713
0,00543803;24;0;82,92954436;24,9044096
0,005478788;24;0;91,19857675;24,51513954
0,005519546;24;0;99,33718436;24,12835518
0,005616408;24;0;118,1600593;23,23330099
0,005713269;24;0;136,279999;22,36207827
0,005810131;24;0;153,7232612;21,5141409
0,005906992;24;0;170,5093636;20,70036457
0,006003854;24;0;186,6611427;19,92318723
0,006100716;24;0;202,2050714;19,17604665
0,006369948;24;0;242,4046875;17,25018296
0,006639181;24;0;278,547774;15,50226863
0,006908414;24;0;311,0377116;13,92830197
0,007177647;24;0;340,2402345;12,52009452
0,00744688;24;0;366,4905933;11,25627085
0,007716113;24;0;390,0889496;10,11880444
0,008385885;24;0;438,8836716;7,766801814
0,009055657;24;0;476,2975849;5,962593302
0,009725429;24;0;505,0328834;4,577622399
0,010395201;24;0;527,1110926;3,51354431
0,011064973;24;0;544,06398;2,696318207
0,012080128;24;0;562,4477109;1,810140547
0,013095283;24;0;574,7599468;1,21665549
0,014110438;24;0;583,0555363;0,816782932
0,015125593;24;0;588,6454243;0,547329614
0,016140748;24;0;592,3969707;0,366491952
0,017729316;24;0;595,8580994;0,199653828
0,019317884;24;0;597,7180079;0,109999936
0,020906452;24;0;598,7613033;0,059709441
